iso3,country,year,voice_accountability,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption
BRB,Barbados,2022,74.1640299,86.5061199,65.0933078,61.2337061,69.3037055,71.9965839
BRB,Barbados,2021,73.8506601,84.4205316,64.223219,62.371663,69.0305476,72.0370427
BRB,Barbados,2020,73.309877,84.1385913,63.2123108,61.1944022,69.0957538,71.5279357
BLR,Belarus,2024,27.2627222,59.4495003,37.6995982,35.4281591,35.7852241,36.1526013
BLR,Belarus,2023,26.6423377,59.1880459,39.7439464,36.3281553,36.0445721,37.0386886
BLR,Belarus,2022,28.0987986,55.357111,39.7338355,37.8914926,37.0150252,39.4543234
BLR,Belarus,2021,29.6243646,55.3657663,38.0691396,42.336188,38.5964857,43.6795333
BLR,Belarus,2020,32.7706505,51.9165453,39.3477492,44.0894827,42.1598706,45.8019695
BEL,Belgium,2024,83.0542039,67.9689981,74.5710173,74.4753152,79.0425834,77.5852129
BEL,Belgium,2023,83.3700031,69.3006796,73.9850756,75.2301559,78.8566854,77.5494825
BEL,Belgium,2022,83.8191327,70.1054587,76.8196093,77.0684112,80.0237604,79.7844434
BEL,Belgium,2021,83.8366072,73.7846749,75.2230161,76.8702874,81.1494075,79.23356
BEL,Belgium,2020,83.4546836,72.1913766,74.0821421,75.7413392,81.977454,79.5583496
BLZ,Belize,2024,58.6688121,79.2986992,48.8303528,47.7644224,50.1294796,44.6078242
BLZ,Belize,2023,58.968586,79.3832206,50.0916047,47.0872812,50.0681492,45.5070827
BLZ,Belize,2022,58.7706224,78.4554045,48.5929432,45.124318100000004,49.4412769,46.9254536
BLZ,Belize,2021,58.2083584,71.9904014,43.9854124,45.2938499,47.883395,46.034901
BLZ,Belize,2020,58.3155472,76.1889426,43.9561997,45.7744666,48.0015344,46.3301035
BEN,Benin,2024,50.1899746,59.0103392,47.7351469,50.4899699,49.8656515,42.9823784
BEN,Benin,2023,50.9478499,60.6055079,47.1334148,51.1412381,50.236747,45.7341806
BEN,Benin,2022,49.1893276,58.4245958,47.1616961,50.352593,48.902081,45.6118468
BEN,Benin,2021,51.0453213,58.8795864,47.4149409,48.8810138,50.3349168,44.5298255
BEN,Benin,2020,55.6685337,61.0570087,47.6695739,47.9807811,50.1930266,47.1409996
BMU,Bermuda,2024,,82.483526,80.0326675,64.7758095,70.7350905,71.6636167
BMU,Bermuda,2023,,82.6148254,80.0567528,64.7546064,70.7380077,71.604473
BMU,Bermuda,2022,,82.6044449,74.9510215,68.4798333,70.7560652,71.6658595
BMU,Bermuda,2021,,82.5406007,79.6571821,68.5677148,67.9791492,71.6837307
BMU,Bermuda,2020,,82.5776934,79.6006175,68.6006897,68.1268531,71.7357717
BTN,Bhutan,2024,63.8688856,89.0248497,62.6342595,53.4229511,70.5657526,77.655202
BTN,Bhutan,2023,62.2472923,88.6516184,61.7489169,53.139843,69.3564374,75.3103134
BTN,Bhutan,2022,61.5055438,88.4837541,61.7391132,53.138064,68.7331053,75.3237234
BTN,Bhutan,2021,62.8405059,81.9371556,62.936546,54.1509693,68.6385205,74.5710095
BTN,Bhutan,2020,62.7502211,84.9479261,60.7464143,54.3747784,68.1003555,75.0214788
BOL,Bolivia,2024,49.1522731,56.5672297,39.4715143,35.0786424,35.1463232,27.6622228
BOL,Bolivia,2023,49.3318119,60.9437372,43.3803612,36.5763233,36.2633408,28.511009
BOL,Bolivia,2022,49.9229462,62.9801202,42.9101056,36.925143,36.6979317,27.9688233
BOL,Bolivia,2021,51.1834719,61.0096773,42.0373238,37.2460993,37.8575493,28.647605
BOL,Bolivia,2020,50.2105243,59.3078973,42.1659752,38.2868348,36.2750114,31.5692114
BIH,Bosnia and Herzegovina,2024,49.9313526,57.3354627,38.9873757,49.3451777,51.4721898,37.4735881
BIH,Bosnia and Herzegovina,2023,49.083091,62.4793902,38.7918855,49.379531,50.8569691,35.7419633
BIH,Bosnia and Herzegovina,2022,48.5547013,61.657193,36.8357723,48.8771892,51.978064,34.0893452
BIH,Bosnia and Herzegovina,2021,48.5183819,60.5871127,35.000461,48.8734072,51.6732556,34.3131275
BIH,Bosnia and Herzegovina,2020,48.9517681,61.298956,37.6300761,48.961795,51.7568806,35.2107606
BWA,Botswana,2024,62.0171118,83.5276303,59.4464824,61.2018557,62.335899,60.6300979
BWA,Botswana,2023,59.6374419,83.1933485,61.8596214,61.9054882,62.683297,60.1351054
BWA,Botswana,2022,59.2705705,84.3398245,60.2725227,62.5104152,62.8760173,61.0252289
BWA,Botswana,2021,59.7592767,83.9533789,59.1679235,62.1175665,63.3669767,62.06231
BWA,Botswana,2020,60.8092458,84.4026182,57.3754551,61.0005604,62.727026,62.4659545
BRA,Brazil,2024,62.3883763,57.0022212,46.9849597,50.2174997,49.2849848,39.5782583
BRA,Brazil,2023,61.208117,56.9850729,46.1562672,51.1409432,48.6517238,38.7156512
BRA,Brazil,2022,57.3819696,58.7919168,46.7668678,51.7253658,49.3948665,38.6190444
BRA,Brazil,2021,58.1856122,59.1936982,50.0063582,52.480175,49.923063,39.6653253
BRA,Brazil,2020,59.768042,58.5933483,49.6410809,52.4673449,50.2151562,41.0287424
BRN,Brunei Darussalam,2024,42.8484471,86.4388526,67.5801007,68.85143,67.0778539,71.8648783
BRN,Brunei Darussalam,2023,42.9599432,88.6964047,70.502043,67.6044091,67.9504228,71.7732347
BRN,Brunei Darussalam,2022,42.6807365,85.982082,70.4919322,68.5126647,67.955197,71.7912639
BRN,Brunei Darussalam,2021,42.5423198,85.763733,72.2690747,68.5386639,66.6308506,71.7965125
BRN,Brunei Darussalam,2020,43.2800305,85.7863149,72.2477155,67.6373934,66.6615752,71.8117969
BGR,Bulgaria,2024,60.5840325,66.5764069,52.1730773,59.4055004,56.3908659,42.9964948
BGR,Bulgaria,2023,61.393015,71.2660202,53.4045993,60.4109253,56.5070158,44.815976
BGR,Bulgaria,2022,60.3184987,71.4796205,49.9067134,58.7677262,55.2470323,45.0830509
BGR,Bulgaria,2021,60.17976,72.8363232,51.0525709,59.9558394,56.3150803,43.2790039
BGR,Bulgaria,2020,60.229005,73.0865465,50.217808,59.7158504,54.373904,42.6240972
BFA,Burkina Faso,2024,39.9684808,33.3312021,34.3295393,46.5739404,41.7528823,42.7426883
BFA,Burkina Faso,2023,44.6747828,31.0083522,34.5353814,47.2564533,44.6675131,42.8354957
BFA,Burkina Faso,2022,46.4659911,34.7884454,34.3967942,47.0137659,46.1796214,43.1141164
BFA,Burkina Faso,2021,53.8266821,38.9026684,36.8265306,47.623265,50.0617623,43.7564207
BFA,Burkina Faso,2020,53.0810183,41.7072486,39.0734329,46.9913642,49.7548697,43.7695312
BDI,Burundi,2024,30.7338088,42.3840199,31.7781047,42.0271013,34.5421294,18.251816
BDI,Burundi,2023,33.7970629,43.9613519,29.7912739,40.9409173,34.4555905,21.7016617
BDI,Burundi,2022,32.3583023,44.0146516,28.3771978,40.3473772,34.217088,21.0647395
BDI,Burundi,2021,31.6779876,42.3498686,29.4808443,39.0907215,34.3794073,19.7065852
BDI,Burundi,2020,31.2520138,40.3528211,30.0796307,38.8207368,34.2257226,20.4686101
CPV,Cabo Verde,2024,70.6950996,79.040094,59.4135423,55.5747674,64.2655079,66.8974053
CPV,Cabo Verde,2023,69.7474589,80.7415683,58.3728361,56.3875681,64.2359572,65.3016194
CPV,Cabo Verde,2022,69.8994557,80.173998,58.340561,56.3856045,65.1825854,65.187026
CPV,Cabo Verde,2021,69.6631389,80.1387552,56.7353988,55.9002501,65.335697,66.023554
CPV,Cabo Verde,2020,69.4419914,80.2264026,59.0207517,54.8975316,68.4750584,64.0534049
KHM,Cambodia,2024,27.6085959,68.0880671,45.6336334,44.9051569,38.7857123,22.8998654
